All the countries in the world organised by largest population to smallest
CHN	 | 	1891	 | 	1277558000	 | 	China	 | 	Asia	 | 	Eastern Asia	 | 	
IND	 | 	1109	 | 	1013662000	 | 	India	 | 	Asia	 | 	Southern and Central Asia	 | 	
USA	 | 	3813	 | 	278357000	 | 	United States	 | 	North America	 | 	North America	 | 	
IDN	 | 	939	 | 	212107000	 | 	Indonesia	 | 	Asia	 | 	Southeast Asia	 | 	
BRA	 | 	211	 | 	170115000	 | 	Brazil	 | 	South America	 | 	South America	 | 	
PAK	 | 	2831	 | 	156483000	 | 	Pakistan	 | 	Asia	 | 	Southern and Central Asia	 | 	
RUS	 | 	3580	 | 	146934000	 | 	Russian Federation	 | 	Europe	 | 	Eastern Europe	 | 	
BGD	 | 	150	 | 	129155000	 | 	Bangladesh	 | 	Asia	 | 	Southern and Central Asia	 | 	
JPN	 | 	1532	 | 	126714000	 | 	Japan	 | 	Asia	 | 	Eastern Asia	 | 	
NGA	 | 	2754	 | 	111506000	 | 	Nigeria	 | 	Africa	 | 	Western Africa	 | 	
MEX	 | 	2515	 | 	98881000	 | 	Mexico	 | 	North America	 | 	Central America	 | 	
DEU	 | 	3068	 | 	82164700	 | 	Germany	 | 	Europe	 | 	Western Europe	 | 	
VNM	 | 	3770	 | 	79832000	 | 	Vietnam	 | 	Asia	 | 	Southeast Asia	 | 	
PHL	 | 	766	 | 	75967000	 | 	Philippines	 | 	Asia	 | 	Southeast Asia	 | 	
EGY	 | 	608	 | 	68470000	 | 	Egypt	 | 	Africa	 | 	Northern Africa	 | 	
IRN	 | 	1380	 | 	67702000	 | 	Iran	 | 	Asia	 | 	Southern and Central Asia	 | 	
TUR	 | 	3358	 | 	66591000	 | 	Turkey	 | 	Asia	 | 	Middle East	 | 	
ETH	 | 	756	 | 	62565000	 | 	Ethiopia	 | 	Africa	 | 	Eastern Africa	 | 	
THA	 | 	3320	 | 	61399000	 | 	Thailand	 | 	Asia	 | 	Southeast Asia	 | 	
GBR	 | 	456	 | 	59623400	 | 	United Kingdom	 | 	Europe	 | 	British Islands	 | 	
FRA	 | 	2974	 | 	59225700	 | 	France	 | 	Europe	 | 	Western Europe	 | 	
ITA	 | 	1464	 | 	57680000	 | 	Italy	 | 	Europe	 | 	Southern Europe	 | 	
COD	 | 	2298	 | 	51654000	 | 	Congo, The Democratic Republic of the	 | 	Africa	 | 	Central Africa	 | 	
UKR	 | 	3426	 | 	50456000	 | 	Ukraine	 | 	Europe	 | 	Eastern Europe	 | 	
KOR	 | 	2331	 | 	46844000	 | 	South Korea	 | 	Asia	 | 	Eastern Asia	 | 	
MMR	 | 	2710	 | 	45611000	 | 	Myanmar	 | 	Asia	 | 	Southeast Asia	 | 	
COL	 | 	2257	 | 	42321000	 | 	Colombia	 | 	South America	 | 	South America	 | 	
ZAF	 | 	716	 | 	40377000	 | 	South Africa	 | 	Africa	 | 	Southern Africa	 | 	
ESP	 | 	653	 | 	39441700	 | 	Spain	 | 	Europe	 | 	Southern Europe	 | 	
POL	 | 	2928	 | 	38653600	 | 	Poland	 | 	Europe	 | 	Eastern Europe	 | 	
ARG	 | 	69	 | 	37032000	 | 	Argentina	 | 	South America	 | 	South America	 | 	
TZA	 | 	3306	 | 	33517000	 | 	Tanzania	 | 	Africa	 | 	Eastern Africa	 | 	
DZA	 | 	35	 | 	31471000	 | 	Algeria	 | 	Africa	 | 	Northern Africa	 | 	
CAN	 | 	1822	 | 	31147000	 | 	Canada	 | 	North America	 | 	North America	 | 	
KEN	 | 	1881	 | 	30080000	 | 	Kenya	 | 	Africa	 | 	Eastern Africa	 | 	
SDN	 | 	3225	 | 	29490000	 | 	Sudan	 | 	Africa	 | 	Northern Africa	 | 	
MAR	 | 	2486	 | 	28351000	 | 	Morocco	 | 	Africa	 | 	Northern Africa	 | 	
PER	 | 	2890	 | 	25662000	 | 	Peru	 | 	South America	 | 	South America	 | 	
UZB	 | 	3503	 | 	24318000	 | 	Uzbekistan	 | 	Asia	 | 	Southern and Central Asia	 | 	
VEN	 | 	3539	 | 	24170000	 | 	Venezuela	 | 	South America	 | 	South America	 | 	
PRK	 | 	2318	 | 	24039000	 | 	North Korea	 | 	Asia	 | 	Eastern Asia	 | 	
NPL	 | 	2729	 | 	23930000	 | 	Nepal	 | 	Asia	 | 	Southern and Central Asia	 | 	
IRQ	 | 	1365	 | 	23115000	 | 	Iraq	 | 	Asia	 | 	Middle East	 | 	
AFG	 | 	1	 | 	22720000	 | 	Afghanistan	 | 	Asia	 | 	Southern and Central Asia	 | 	
ROM	 | 	3018	 | 	22455500	 | 	Romania	 | 	Europe	 | 	Eastern Europe	 | 	
TWN	 | 	3263	 | 	22256000	 | 	Taiwan	 | 	Asia	 | 	Eastern Asia	 | 	
MYS	 | 	2464	 | 	22244000	 | 	Malaysia	 | 	Asia	 | 	Southeast Asia	 | 	
UGA	 | 	3425	 | 	21778000	 | 	Uganda	 | 	Africa	 | 	Eastern Africa	 | 	
SAU	 | 	3173	 | 	21607000	 | 	Saudi Arabia	 | 	Asia	 | 	Middle East	 | 	
GHA	 | 	910	 | 	20212000	 | 	Ghana	 | 	Africa	 | 	Western Africa	 | 	
MOZ	 | 	2698	 | 	19680000	 | 	Mozambique	 | 	Africa	 | 	Eastern Africa	 | 	
AUS	 | 	135	 | 	18886000	 | 	Australia	 | 	Oceania	 | 	Australia and New Zealand	 | 	
LKA	 | 	3217	 | 	18827000	 | 	Sri Lanka	 | 	Asia	 | 	Southern and Central Asia	 | 	
YEM	 | 	1780	 | 	18112000	 | 	Yemen	 | 	Asia	 | 	Middle East	 | 	
KAZ	 | 	1864	 | 	16223000	 | 	Kazakstan	 | 	Asia	 | 	Southern and Central Asia	 | 	
SYR	 | 	3250	 | 	16125000	 | 	Syria	 | 	Asia	 | 	Middle East	 | 	
MDG	 | 	2455	 | 	15942000	 | 	Madagascar	 | 	Africa	 | 	Eastern Africa	 | 	
NLD	 | 	5	 | 	15864000	 | 	Netherlands	 | 	Europe	 | 	Western Europe	 | 	
CHL	 | 	554	 | 	15211000	 | 	Chile	 | 	South America	 | 	South America	 | 	
CMR	 | 	1804	 | 	15085000	 | 	Cameroon	 | 	Africa	 | 	Central Africa	 | 	
CIV	 | 	2814	 | 	14786000	 | 	Côte d’Ivoire	 | 	Africa	 | 	Western Africa	 | 	
AGO	 | 	56	 | 	12878000	 | 	Angola	 | 	Africa	 | 	Central Africa	 | 	
ECU	 | 	594	 | 	12646000	 | 	Ecuador	 | 	South America	 | 	South America	 | 	
BFA	 | 	549	 | 	11937000	 | 	Burkina Faso	 | 	Africa	 | 	Western Africa	 | 	
ZWE	 | 	4068	 | 	11669000	 | 	Zimbabwe	 | 	Africa	 | 	Eastern Africa	 | 	
GTM	 | 	922	 | 	11385000	 | 	Guatemala	 | 	North America	 | 	Central America	 | 	
MLI	 | 	2482	 | 	11234000	 | 	Mali	 | 	Africa	 | 	Western Africa	 | 	
CUB	 | 	2413	 | 	11201000	 | 	Cuba	 | 	North America	 | 	Caribbean	 | 	
KHM	 | 	1800	 | 	11168000	 | 	Cambodia	 | 	Asia	 | 	Southeast Asia	 | 	
MWI	 | 	2462	 | 	10925000	 | 	Malawi	 | 	Africa	 | 	Eastern Africa	 | 	
NER	 | 	2738	 | 	10730000	 | 	Niger	 | 	Africa	 | 	Western Africa	 | 	
YUG	 | 	1792	 | 	10640000	 | 	Yugoslavia	 | 	Europe	 | 	Southern Europe	 | 	
GRC	 | 	2401	 | 	10545700	 | 	Greece	 | 	Europe	 | 	Southern Europe	 | 	
CZE	 | 	3339	 | 	10278100	 | 	Czech Republic	 | 	Europe	 | 	Eastern Europe	 | 	
BEL	 | 	179	 | 	10239000	 | 	Belgium	 | 	Europe	 | 	Western Europe	 | 	
BLR	 | 	3520	 | 	10236000	 | 	Belarus	 | 	Europe	 | 	Eastern Europe	 | 	
SOM	 | 	3214	 | 	10097000	 | 	Somalia	 | 	Africa	 | 	Eastern Africa	 | 	
HUN	 | 	3483	 | 	10043200	 | 	Hungary	 | 	Europe	 | 	Eastern Europe	 | 	
PRT	 | 	2914	 | 	9997600	 | 	Portugal	 | 	Europe	 | 	Southern Europe	 | 	
TUN	 | 	3349	 | 	9586000	 | 	Tunisia	 | 	Africa	 | 	Northern Africa	 | 	
SEN	 | 	3198	 | 	9481000	 | 	Senegal	 | 	Africa	 | 	Western Africa	 | 	
ZMB	 | 	3162	 | 	9169000	 | 	Zambia	 | 	Africa	 | 	Eastern Africa	 | 	
