All the cities in a country organised by largest population to smallest.
London	 | 	United Kingdom	 | 	England	 | 	7285000
Birmingham	 | 	United Kingdom	 | 	England	 | 	1013000
Glasgow	 | 	United Kingdom	 | 	Scotland	 | 	619680
Liverpool	 | 	United Kingdom	 | 	England	 | 	461000
Edinburgh	 | 	United Kingdom	 | 	Scotland	 | 	450180
Sheffield	 | 	United Kingdom	 | 	England	 | 	431607
Manchester	 | 	United Kingdom	 | 	England	 | 	430000
Leeds	 | 	United Kingdom	 | 	England	 | 	424194
Bristol	 | 	United Kingdom	 | 	England	 | 	402000
Cardiff	 | 	United Kingdom	 | 	Wales	 | 	321000
Coventry	 | 	United Kingdom	 | 	England	 | 	304000
Leicester	 | 	United Kingdom	 | 	England	 | 	294000
Bradford	 | 	United Kingdom	 | 	England	 | 	289376
Belfast	 | 	United Kingdom	 | 	North Ireland	 | 	287500
Nottingham	 | 	United Kingdom	 | 	England	 | 	287000
Kingston upon Hull	 | 	United Kingdom	 | 	England	 | 	262000
Plymouth	 | 	United Kingdom	 | 	England	 | 	253000
Stoke-on-Trent	 | 	United Kingdom	 | 	England	 | 	252000
Wolverhampton	 | 	United Kingdom	 | 	England	 | 	242000
Derby	 | 	United Kingdom	 | 	England	 | 	236000
Swansea	 | 	United Kingdom	 | 	Wales	 | 	230000
Southampton	 | 	United Kingdom	 | 	England	 | 	216000
Aberdeen	 | 	United Kingdom	 | 	Scotland	 | 	213070
Northampton	 | 	United Kingdom	 | 	England	 | 	196000
Dudley	 | 	United Kingdom	 | 	England	 | 	192171
Portsmouth	 | 	United Kingdom	 | 	England	 | 	190000
Newcastle upon Tyne	 | 	United Kingdom	 | 	England	 | 	189150
Sunderland	 | 	United Kingdom	 | 	England	 | 	183310
Luton	 | 	United Kingdom	 | 	England	 | 	183000
Swindon	 | 	United Kingdom	 | 	England	 | 	180000
Southend-on-Sea	 | 	United Kingdom	 | 	England	 | 	176000
Walsall	 | 	United Kingdom	 | 	England	 | 	174739
Bournemouth	 | 	United Kingdom	 | 	England	 | 	162000
Brighton	 | 	United Kingdom	 | 	England	 | 	156124
Peterborough	 | 	United Kingdom	 | 	England	 | 	156000
Blackpool	 | 	United Kingdom	 | 	England	 | 	151000
Reading	 | 	United Kingdom	 | 	England	 | 	148000
Dundee	 | 	United Kingdom	 | 	Scotland	 | 	146690
West Bromwich	 | 	United Kingdom	 | 	England	 | 	146386
Oldbury/Smethwick (Warley)	 | 	United Kingdom	 | 	England	 | 	145542
Middlesbrough	 | 	United Kingdom	 | 	England	 | 	145000
Oxford	 | 	United Kingdom	 | 	England	 | 	144000
Huddersfield	 | 	United Kingdom	 | 	England	 | 	143726
Poole	 | 	United Kingdom	 | 	England	 | 	141000
Blackburn	 | 	United Kingdom	 | 	England	 | 	140000
Bolton	 | 	United Kingdom	 | 	England	 | 	139020
Newport	 | 	United Kingdom	 | 	Wales	 | 	139000
Preston	 | 	United Kingdom	 | 	England	 | 	135000
Stockport	 | 	United Kingdom	 | 	England	 | 	132813
Norwich	 | 	United Kingdom	 | 	England	 | 	124000
Rotherham	 | 	United Kingdom	 | 	England	 | 	121380
Cambridge	 | 	United Kingdom	 | 	England	 | 	121000
Ipswich	 | 	United Kingdom	 | 	England	 | 	114000
Watford	 | 	United Kingdom	 | 	England	 | 	113080
Slough	 | 	United Kingdom	 | 	England	 | 	112000
Exeter	 | 	United Kingdom	 | 	England	 | 	111000
Gloucester	 | 	United Kingdom	 | 	England	 | 	107000
Saint Helens	 | 	United Kingdom	 | 	England	 | 	106293
Sutton Coldfield	 | 	United Kingdom	 | 	England	 | 	106001
Cheltenham	 | 	United Kingdom	 | 	England	 | 	106000
York	 | 	United Kingdom	 | 	England	 | 	104425
Oldham	 | 	United Kingdom	 | 	England	 | 	103931
Basildon	 | 	United Kingdom	 | 	England	 | 	100924
Worthing	 | 	United Kingdom	 | 	England	 | 	100000
Chelmsford	 | 	United Kingdom	 | 	England	 | 	97451
Crawley	 | 	United Kingdom	 | 	England	 | 	97000
Colchester	 | 	United Kingdom	 | 	England	 | 	96063
Worcester	 | 	United Kingdom	 | 	England	 | 	95000
Solihull	 | 	United Kingdom	 | 	England	 | 	94531
Rochdale	 | 	United Kingdom	 | 	England	 | 	94313
Birkenhead	 | 	United Kingdom	 | 	England	 | 	93087
Gillingham	 | 	United Kingdom	 | 	England	 | 	92000
Hartlepool	 | 	United Kingdom	 | 	England	 | 	92000
Woking/Byfleet	 | 	United Kingdom	 | 	England	 | 	92000
Halifax	 | 	United Kingdom	 | 	England	 | 	91069
Southport	 | 	United Kingdom	 | 	England	 | 	90959
Maidstone	 | 	United Kingdom	 | 	England	 | 	90878
Eastbourne	 | 	United Kingdom	 | 	England	 | 	90000
Grimsby	 | 	United Kingdom	 | 	England	 | 	89000
Saint Helier	 | 	United Kingdom	 | 	Jersey	 | 	27523
Douglas	 | 	United Kingdom	 | 	–	 | 	23487
