All the cities in a continent organised by largest population to smallest
Moscow	 | 	Russian Federation	 | 	Moscow (City)	 | 	8389200
London	 | 	United Kingdom	 | 	England	 | 	7285000
St Petersburg	 | 	Russian Federation	 | 	Pietari	 | 	4694000
Berlin	 | 	Germany	 | 	Berliini	 | 	3386667
Madrid	 | 	Spain	 | 	Madrid	 | 	2879052
Roma	 | 	Italy	 | 	Latium	 | 	2643581
Kyiv	 | 	Ukraine	 | 	Kiova	 | 	2624000
Paris	 | 	France	 | 	Île-de-France	 | 	2125246
Bucuresti	 | 	Romania	 | 	Bukarest	 | 	2016131
Budapest	 | 	Hungary	 | 	Budapest	 | 	1811552
Hamburg	 | 	Germany	 | 	Hamburg	 | 	1704735
Minsk	 | 	Belarus	 | 	Horad Minsk	 | 	1674000
Warszawa	 | 	Poland	 | 	Mazowieckie	 | 	1615369
Wien	 | 	Austria	 | 	Wien	 | 	1608144
Barcelona	 | 	Spain	 | 	Katalonia	 | 	1503451
Harkova [Harkiv]	 | 	Ukraine	 | 	Harkova	 | 	1500000
Novosibirsk	 | 	Russian Federation	 | 	Novosibirsk	 | 	1398800
Nizni Novgorod	 | 	Russian Federation	 | 	Nizni Novgorod	 | 	1357000
Milano	 | 	Italy	 | 	Lombardia	 | 	1300977
Jekaterinburg	 | 	Russian Federation	 | 	Sverdlovsk	 | 	1266300
Beograd	 | 	Yugoslavia	 | 	Central Serbia	 | 	1204000
Munich [München]	 | 	Germany	 | 	Baijeri	 | 	1194560
Praha	 | 	Czech Republic	 | 	Hlavní mesto Praha	 | 	1181126
Samara	 | 	Russian Federation	 | 	Samara	 | 	1156100
Omsk	 | 	Russian Federation	 | 	Omsk	 | 	1148900
Sofija	 | 	Bulgaria	 | 	Grad Sofija	 | 	1122302
Dnipropetrovsk	 | 	Ukraine	 | 	Dnipropetrovsk	 | 	1103000
Kazan	 | 	Russian Federation	 | 	Tatarstan	 | 	1101000
Ufa	 | 	Russian Federation	 | 	Baškortostan	 | 	1091200
Tšeljabinsk	 | 	Russian Federation	 | 	Tšeljabinsk	 | 	1083200
Donetsk	 | 	Ukraine	 | 	Donetsk	 | 	1050000
Birmingham	 | 	United Kingdom	 | 	England	 | 	1013000
Rostov-na-Donu	 | 	Russian Federation	 | 	Rostov-na-Donu	 | 	1012700
Odesa	 | 	Ukraine	 | 	Odesa	 | 	1011000
Perm	 | 	Russian Federation	 | 	Perm	 | 	1009700
Napoli	 | 	Italy	 | 	Campania	 | 	1002619
Volgograd	 | 	Russian Federation	 | 	Volgograd	 | 	993400
Köln	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	962507
Voronez	 | 	Russian Federation	 | 	Voronez	 | 	907700
Torino	 | 	Italy	 | 	Piemonte	 | 	903705
Krasnojarsk	 | 	Russian Federation	 | 	Krasnojarsk	 | 	875500
Saratov	 | 	Russian Federation	 | 	Saratov	 | 	874000
Zaporizzja	 | 	Ukraine	 | 	Zaporizzja	 | 	848000
Lódz	 | 	Poland	 | 	Lodzkie	 | 	800110
Marseille	 | 	France	 | 	Provence-Alpes-Côte	 | 	798430
Lviv	 | 	Ukraine	 | 	Lviv	 | 	788000
Athenai	 | 	Greece	 | 	Attika	 | 	772072
Riga	 | 	Latvia	 | 	Riika	 | 	764328
Stockholm	 | 	Sweden	 | 	Lisboa	 | 	750348
Valencia	 | 	Spain	 | 	Valencia	 | 	739412
Kraków	 | 	Poland	 | 	Malopolskie	 | 	738150
Amsterdam	 | 	Netherlands	 | 	Noord-Holland	 | 	731200
Toljatti	 | 	Russian Federation	 | 	Samara	 | 	722900
Chisinau	 | 	Moldova	 | 	Chisinau	 | 	719900
Zagreb	 | 	Croatia	 | 	Grad Zagreb	 | 	706770
Kryvyi Rig	 | 	Ukraine	 | 	Dnipropetrovsk	 | 	703000
Sevilla	 | 	Spain	 | 	Andalusia	 | 	701927
Palermo	 | 	Italy	 | 	Sisilia	 | 	683794
Uljanovsk	 | 	Russian Federation	 | 	Uljanovsk	 | 	667400
Izevsk	 | 	Russian Federation	 | 	Udmurtia	 | 	652800
Frankfurt am Main	 | 	Germany	 | 	Hessen	 | 	643821
Krasnodar	 | 	Russian Federation	 | 	Krasnodar	 | 	639000
Wroclaw	 | 	Poland	 | 	Dolnoslaskie	 | 	636765
Genova	 | 	Italy	 | 	Liguria	 | 	636104
Glasgow	 | 	United Kingdom	 | 	Scotland	 | 	619680
Jaroslavl	 | 	Russian Federation	 | 	Jaroslavl	 | 	616700
Habarovsk	 | 	Russian Federation	 | 	Habarovsk	 | 	609400
Vladivostok	 | 	Russian Federation	 | 	Primorje	 | 	606200
Zaragoza	 | 	Spain	 | 	Aragonia	 | 	603367
Essen	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	599515
Irkutsk	 | 	Russian Federation	 | 	Irkutsk	 | 	593700
Rotterdam	 | 	Netherlands	 | 	Zuid-Holland	 | 	593321
Dortmund	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	590213
Stuttgart	 | 	Germany	 | 	Baden-Württemberg	 | 	582443
Barnaul	 | 	Russian Federation	 | 	Altai	 | 	580100
Vilnius	 | 	Lithuania	 | 	Vilna	 | 	577969
Poznan	 | 	Poland	 | 	Wielkopolskie	 | 	576899
Düsseldorf	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	568855
Lisboa	 | 	Portugal	 | 	Lisboa	 | 	563210
Novokuznetsk	 | 	Russian Federation	 | 	Kemerovo	 | 	561600
Helsinki [Helsingfors]	 | 	Finland	 | 	Newmaa	 | 	555474
Bremen	 | 	Germany	 | 	Bremen	 | 	540330
Penza	 | 	Russian Federation	 | 	Penza	 | 	532200
Málaga	 | 	Spain	 | 	Andalusia	 | 	530553
Rjazan	 | 	Russian Federation	 | 	Rjazan	 | 	529900
Orenburg	 | 	Russian Federation	 | 	Orenburg	 | 	523600
Lipetsk	 | 	Russian Federation	 | 	Lipetsk	 | 	521000
Duisburg	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	519793
Hannover	 | 	Germany	 | 	Niedersachsen	 | 	514718
Nabereznyje Tšelny	 | 	Russian Federation	 | 	Tatarstan	 | 	514700
Oslo	 | 	Norway	 | 	Oslo	 | 	508726
Mykolajiv	 | 	Ukraine	 | 	Mykolajiv	 | 	508000
Tula	 | 	Russian Federation	 | 	Tula	 | 	506100
Tjumen	 | 	Russian Federation	 | 	Tjumen	 | 	503400
København	 | 	Denmark	 | 	København	 | 	495699
Kemerovo	 | 	Russian Federation	 | 	Kemerovo	 | 	492700
Mariupol	 | 	Ukraine	 | 	Donetsk	 | 	490000
Leipzig	 | 	Germany	 | 	Saksi	 | 	489532
Nürnberg	 | 	Germany	 | 	Baijeri	 | 	486628
Astrahan	 | 	Russian Federation	 | 	Astrahan	 | 	486100
Tomsk	 | 	Russian Federation	 | 	Tomsk	 | 	482100
Dublin	 | 	Ireland	 | 	Leinster	 | 	481854
Dresden	 | 	Germany	 | 	Saksi	 | 	476668
Gomel	 | 	Belarus	 | 	Gomel	 | 	475000
Lugansk	 | 	Ukraine	 | 	Lugansk	 | 	469000
Gothenburg [Göteborg]	 | 	Sweden	 | 	West Götanmaan län	 | 	466990
Kirov	 | 	Russian Federation	 | 	Kirov	 | 	466200
Liverpool	 | 	United Kingdom	 | 	England	 | 	461000
Ivanovo	 | 	Russian Federation	 | 	Ivanovo	 | 	459200
Tšeboksary	 | 	Russian Federation	 | 	Tšuvassia	 | 	459200
Gdansk	 | 	Poland	 | 	Pomorskie	 | 	458988
Brjansk	 | 	Russian Federation	 | 	Brjansk	 | 	457400
Tver	 | 	Russian Federation	 | 	Tver	 | 	454900
Edinburgh	 | 	United Kingdom	 | 	Scotland	 | 	450180
Bratislava	 | 	Slovakia	 | 	Bratislava	 | 	448292
Antwerpen	 | 	Belgium	 | 	Antwerpen	 | 	446525
Lyon	 | 	France	 | 	Rhône-Alpes	 | 	445452
Skopje	 | 	Macedonia	 | 	Skopje	 | 	444299
Kursk	 | 	Russian Federation	 | 	Kursk	 | 	443500
Haag	 | 	Netherlands	 | 	Zuid-Holland	 | 	440900
Sheffield	 | 	United Kingdom	 | 	England	 | 	431607
Manchester	 | 	United Kingdom	 | 	England	 | 	430000
Magnitogorsk	 | 	Russian Federation	 | 	Tšeljabinsk	 | 	427900
Kaliningrad	 | 	Russian Federation	 | 	Kaliningrad	 | 	424400
Leeds	 | 	United Kingdom	 | 	England	 | 	424194
Szczecin	 | 	Poland	 | 	Zachodnio-Pomorskie	 | 	416988
Kaunas	 | 	Lithuania	 | 	Kaunas	 | 	412639
Tallinn	 | 	Estonia	 | 	Harjumaa	 | 	403981
Bristol	 | 	United Kingdom	 | 	England	 | 	402000
Bochum	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	392830
Vinnytsja	 | 	Ukraine	 | 	Vinnytsja	 | 	391000
Nizni Tagil	 | 	Russian Federation	 | 	Sverdlovsk	 | 	390900
Toulouse	 | 	France	 | 	Midi-Pyrénées	 | 	390350
Bydgoszcz	 | 	Poland	 | 	Kujawsko-Pomorskie	 | 	386855
Makijivka	 | 	Ukraine	 | 	Donetsk	 | 	384000
Thessaloniki	 | 	Greece	 | 	Central Macedonia	 | 	383967
Brno	 | 	Czech Republic	 | 	Jizní Morava	 | 	381862
Bologna	 | 	Italy	 | 	Emilia-Romagna	 | 	381161
Firenze	 | 	Italy	 | 	Toscana	 | 	376662
Murmansk	 | 	Russian Federation	 | 	Murmansk	 | 	376300
Ulan-Ude	 | 	Russian Federation	 | 	Burjatia	 | 	370400
Wuppertal	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	368993
Kurgan	 | 	Russian Federation	 | 	Kurgan	 | 	364700
Arkangeli	 | 	Russian Federation	 | 	Arkangeli	 | 	361800
Sarajevo	 | 	Bosnia and Herzegovina	 | 	Federaatio	 | 	360000
